claim_id,policy_number,claimant_id,claimant_name,claim_type,estimated_damage,amount_paid,claim_date,incident_date,settlement_date,status,location,state,description,police_report,photos_provided,witness_statements,vehicle_vin,vehicle_make,vehicle_model,vehicle_year,license_plate,fraud_flag
CLM-2026-000001,POL-2025-914,CLM-1310,Linda Ramirez,Major Collision,28392.64,,2025-05-22,2025-05-22,,UNDER_REVIEW,"Los Angeles, CA",CA,Major Collision incident reported at Los Angeles. Single vehicle incident.,True,True,0,D07G06MH7KT0TPB5Y,Hyundai,Elantra,2024.0,ICC967,False
CLM-2026-000002,POL-2021-722,CLM-1099,William Gonzalez,Property Damage,41982.02,37177.43,2025-05-09,2025-04-25,2025-07-25,APPROVED,"LA City, LA",LA,Property Damage incident reported at LA City. Minor damage reported.,True,True,2,,,,,,False
CLM-2026-000003,POL-2021-672,CLM-470,Mary White,Auto Accident,7907.52,7772.09,2025-11-13,2025-11-01,2025-12-24,APPROVED,"Tampa, FL",FL,Auto Accident incident reported at Tampa. Parking lot incident.,True,True,3,F88J8KWD7ZG313LTD,Nissan,Pathfinder,2025.0,BJZ641,False
CLM-2026-000004,POL-2020-977,CLM-1477,Michael Lewis,Liability,65891.37,48329.06,2025-05-26,2025-05-16,2025-07-06,CLOSED,"Fort Lauderdale, FL",FL,Liability incident reported at Fort Lauderdale. Weather-related incident.,True,True,0,,,,,,False
CLM-2026-000005,POL-2023-988,CLM-1569,Betty Thompson,Fire Damage,41374.12,,2025-04-25,2025-04-23,,PENDING,"Cincinnati, OH",OH,Fire Damage incident reported at Cincinnati. Single vehicle incident.,True,False,1,,,,,,False
CLM-2026-000006,POL-2023-479,CLM-498,Patricia Martinez,Auto Accident,4714.06,,2023-05-25,2023-05-13,,DENIED,"Miami, FL",FL,Auto Accident incident reported at Miami. Significant damage to vehicle.,True,False,3,DBV86ED98XEVJ1ZUY,Honda,Civic,2015.0,YWE597,False
CLM-2026-000007,POL-2025-736,CLM-777,Linda Harris,Property Damage,22881.35,22588.36,2026-01-07,2026-01-01,2026-03-13,APPROVED,"Miami, FL",FL,Property Damage incident reported at Miami. Multiple vehicles involved.,True,True,1,,,,,,False
CLM-2026-000008,POL-2025-308,CLM-1915,Mary Wilson,Property Theft,7921.89,,2024-07-23,2024-07-20,,PENDING,"MD City, MD",MD,Property Theft incident reported at MD City. Minor damage reported.,False,True,0,,,,,,False
CLM-2026-000009,POL-2023-258,CLM-1521,Elizabeth Taylor,Personal Injury,52746.28,47801.27,2025-02-25,2025-02-21,2025-03-30,APPROVED,"KY City, KY",KY,Personal Injury incident reported at KY City. Parking lot incident.,False,True,1,,,,,,False
CLM-2026-000010,POL-2021-903,CLM-512,Matthew Rodriguez,Hail Damage,11492.69,11236.74,2025-06-14,2025-06-09,2025-08-12,SETTLED,"Pittsburgh, PA",PA,Hail Damage incident reported at Pittsburgh. Weather-related incident.,True,True,1,,,,,,False
CLM-2026-000011,POL-2023-354,CLM-819,Jessica Thomas,Auto Theft,25320.64,25195.69,2024-02-27,2024-02-27,2024-04-07,APPROVED,"TN City, TN",TN,Auto Theft incident reported at TN City. Significant damage to vehicle.,True,True,0,Z3W61EHTNYR6EYXLM,BMW,X5,2024.0,DXN782,True
CLM-2026-000012,POL-2022-216,CLM-393,Nancy Davis,Hail Damage,8967.47,7369.67,2023-09-07,2023-08-28,2023-10-06,CLOSED,"Raleigh, NC",NC,Hail Damage incident reported at Raleigh. Weather-related incident.,False,True,2,,,,,,False
CLM-2026-000013,POL-2023-225,CLM-399,William Jones,Vandalism,7032.41,6805.95,2023-11-18,2023-11-11,2023-12-13,APPROVED,"Tampa, FL",FL,Vandalism incident reported at Tampa. Significant damage to vehicle.,True,True,1,,,,,,False
